date,open,high,low,close,volume,eob,pct_chg,ssf_s,ssf_m,ssf_m_20,ssf_l,grid_coupling
2025-04-24,7.75,7.76,7.54,7.56,31810298,2025-04-24 00:00:00+08:00,-2.45,8.090605653682669,7.608344600071584,9.130013520085901,8.909887894484159,9.278346054795344
2025-04-25,7.55,7.62,7.51,7.59,21773391,2025-04-25 00:00:00+08:00,0.4,8.031142322077098,7.610019953588,9.1320239443056,8.908965323348058,9.278346054795344
2025-04-28,7.8,7.95,7.5,7.52,44427915,2025-04-28 00:00:00+08:00,-0.92,7.971070879061212,7.612497955305698,9.134997546366836,8.907511628330562,9.278346054795344
2025-04-29,7.48,7.54,7.42,7.45,24240060,2025-04-29 00:00:00+08:00,-0.93,7.91078295762931,7.615663938962133,9.138796726754558,8.905532062460255,7.996447135910239
2025-04-30,7.48,7.53,7.45,7.5,21899450,2025-04-30 00:00:00+08:00,0.67,7.851372581073339,7.619417484922814,9.143300981907377,8.903033069764609,7.996447135910239
2025-05-06,7.54,7.86,7.53,7.86,44940954,2025-05-06 00:00:00+08:00,4.8,7.7966250290878465,7.623713669195946,9.148456403035135,8.900027026207045,7.996447135910239
2025-05-07,7.9,7.98,7.78,7.87,34674439,2025-05-07 00:00:00+08:00,0.13,7.7491970220796,7.6285100240233135,9.154212028827976,8.896526523163963,7.996447135910239
2025-05-08,7.87,8.01,7.82,7.99,33579710,2025-05-08 00:00:00+08:00,1.52,7.711588184303362,7.633781428403887,9.160537714084665,8.892546052035796,7.996447135910239
2025-05-09,8.0,8.0,7.71,7.75,29913133,2025-05-09 00:00:00+08:00,-3.0,7.683270072061504,7.639469406807674,9.167363288169208,8.888096327559632,7.996447135910239
2025-05-12,7.8,7.85,7.76,7.82,20505900,2025-05-12 00:00:00+08:00,0.9,7.663998795973251,7.64552791869413,9.174633502432956,8.883189266271067,7.996447135910239
2025-05-13,7.9,7.92,7.74,7.78,19913014,2025-05-13 00:00:00+08:00,-0.51,7.6528471261877975,7.651907323466275,9.182288788159529,8.877836217147507,7.996447135910239
2025-05-14,7.73,7.82,7.71,7.78,19941208,2025-05-14 00:00:00+08:00,0.0,7.648738646308733,7.6585603986570305,9.190272478388437,8.872048601689658,7.996447135910239
2025-05-15,7.77,7.77,7.6,7.6,19382142,2025-05-15 00:00:00+08:00,-2.31,7.649177998813021,7.665417784319169,9.198501341183002,8.865835116495049,7.996447135910239
2025-05-16,7.62,8.12,7.59,7.77,52051037,2025-05-16 00:00:00+08:00,2.24,7.65347935386468,7.672438191125823,9.206925829350988,8.859207281206428,7.996447135910239
2025-05-19,8.0,8.55,7.98,8.55,153136077,2025-05-19 00:00:00+08:00,10.04,7.6667099451951914,7.679688896519566,9.21562667582348,8.852188735959631,7.996447135910239
2025-05-20,8.93,9.41,8.83,9.41,168321013,2025-05-20 00:00:00+08:00,10.06,7.69790784457748,7.687345471708638,9.224814566050366,8.844815862802102,7.996447135910239
2025-05-21,10.34,10.35,9.51,9.7,365595538,2025-05-21 00:00:00+08:00,3.08,7.753730343985622,7.695602409503267,9.23472289140392,8.837128297705915,7.996447135910239
2025-05-22,9.0,9.6,8.79,8.97,236340648,2025-05-22 00:00:00+08:00,-7.53,7.83103453632147,7.704531212955491,9.245437455546588,8.829152936574623,7.996447135910239
2025-05-23,8.73,9.06,8.55,8.57,150973533,2025-05-23 00:00:00+08:00,-4.46,7.922742621379235,7.714137118779574,9.256964542535489,8.82090964012334,7.996447135910239
2025-05-26,8.89,9.43,8.7,9.43,136418406,2025-05-26 00:00:00+08:00,10.04,8.028948562355836,7.724537209902773,9.269444651883328,8.812431064907845,7.996447135910239
2025-05-27,9.59,10.3,9.25,9.74,290627329,2025-05-27 00:00:00+08:00,3.29,8.150251330756975,7.735873662128484,9.28304839455418,8.803753485035807,7.996447135910239
2025-05-28,9.69,10.28,9.43,9.47,223911346,2025-05-28 00:00:00+08:00,-2.77,8.283107446204317,7.7482313810860015,9.297877657303202,8.79490759439957,7.996447135910239
2025-05-29,9.47,9.59,9.25,9.26,158464518,2025-05-29 00:00:00+08:00,-2.22,8.42184941642752,7.761651294461991,9.31398155335439,8.785919674135128,7.996447135910239
2025-06-10,9.1,9.29,8.81,8.92,89618419,2025-06-10 00:00:00+08:00,-1.87,9.152616612731467,7.884568865230714,9.461482638276857,8.720784843139906,9.610247443368042
2025-06-11,8.82,8.9,8.68,8.72,74583895,2025-06-11 00:00:00+08:00,-2.24,9.193595218951087,7.905886754429622,9.487064105315545,8.711381003321822,9.610247443368042
